timestamp,setPoint,xAngVel,simSpeed,thrustPitch,xAngle,systemTime
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5797.000000,
1.000000,-0.349066,0.000000,0.021277,-0.021102,0.000000,5812.000000,
2.000000,-0.349066,0.000000,0.333333,-0.021102,0.000000,5815.000000,
3.000000,-0.349066,-0.000073,0.500000,-0.021102,-0.000000,5818.000000,
4.000000,-0.349066,-0.000147,0.500000,-0.021102,-0.000000,5820.000000,
5.000000,-0.349066,-0.000220,0.500000,-0.021102,-0.000000,5823.000000,
6.000000,-0.349066,-0.000294,0.500000,-0.021102,-0.000001,5825.000000,
7.000000,-0.349066,-0.000367,0.500000,-0.021102,-0.000001,5827.000000,
8.000000,-0.349066,-0.000441,0.333333,-0.021102,-0.000002,5831.000000,
9.000000,-0.349066,-0.000514,0.500000,-0.021102,-0.000002,5834.000000,
10.000000,-0.349066,-0.000588,0.500000,-0.021102,-0.000003,5836.000000,
11.000000,-0.349066,-0.000661,0.500000,-0.030838,-0.000003,5839.000000,
12.000000,-0.349066,-0.000735,0.500000,-0.030838,-0.000004,5841.000000,
13.000000,-0.349066,-0.000842,0.500000,-0.030838,-0.000005,5843.000000,
14.000000,-0.349066,-0.000950,0.333333,-0.030838,-0.000006,5847.000000,
15.000000,-0.349066,-0.001057,0.500000,-0.030838,-0.000007,5849.000000,
16.000000,-0.349066,-0.001165,0.500000,-0.030838,-0.000008,5851.000000,
17.000000,-0.349066,-0.001272,0.500000,-0.030838,-0.000009,5854.000000,
18.000000,-0.349066,-0.001379,0.500000,-0.030838,-0.000011,5857.000000,
19.000000,-0.349066,-0.001487,0.500000,-0.030838,-0.000012,5860.000000,
20.000000,-0.349066,-0.001594,0.250000,-0.030838,-0.000014,5865.000000,
21.000000,-0.349066,-0.001702,0.333333,-0.040492,-0.000015,5869.000000,
22.000000,-0.349066,-0.001809,0.333333,-0.040492,-0.000017,5872.000000,
23.000000,-0.349066,-0.001950,0.500000,-0.040492,-0.000019,5875.000000,
24.000000,-0.349066,-0.002091,0.333333,-0.040492,-0.000021,5878.000000,
25.000000,-0.349066,-0.002232,0.250000,-0.040492,-0.000024,5882.000000,
26.000000,-0.349066,-0.002373,0.333333,-0.040492,-0.000026,5885.000000,
27.000000,-0.349066,-0.002515,0.500000,-0.040492,-0.000028,5888.000000,
28.000000,-0.349066,-0.002656,0.500000,-0.040492,-0.000031,5890.000000,
29.000000,-0.349066,-0.002797,0.500000,-0.040492,-0.000034,5893.000000,
30.000000,-0.349066,-0.002938,0.333333,-0.040492,-0.000037,5897.000000,
31.000000,-0.349066,-0.003079,0.500000,-0.050108,-0.000040,5900.000000,
32.000000,-0.349066,-0.003220,0.500000,-0.050108,-0.000043,5902.000000,
