timestamp,rocket_x,rocket_y,rocket_ay,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26671.000000,
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004378,26729.000000,
15.000000,0.000000,0.000125,5.000000,0.000000,0.000000,0.025000,-0.000011,0.000000,-0.002208,-0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000561,0.000000,0.000000,0.000000,0.714286,26737.000000,
20.000000,0.000000,0.000375,5.000000,0.000000,0.000000,0.050000,-0.000022,0.000000,-0.002208,-0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000561,0.000000,0.000000,0.000000,0.714286,26745.000000,
25.000000,0.000000,0.000750,5.000000,0.000000,0.000000,0.075000,-0.000033,0.000000,-0.002208,-0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000561,0.000000,0.000000,0.000000,1.000000,26750.000000,
30.000000,0.000000,0.001250,5.000000,0.000000,-0.000000,0.100000,-0.000055,-0.000000,-0.004279,0.000000,0.000000,-0.000000,-0.000000,0.000014,-0.000000,0.001087,-0.000000,-0.000000,0.000000,1.250000,26755.000000,
35.000000,0.000000,0.001875,5.000000,0.000000,-0.000000,0.125000,-0.000076,-0.000000,-0.004279,0.000000,0.000000,-0.000000,-0.000000,0.000019,-0.000000,0.001087,-0.000000,-0.000000,0.000000,1.250000,26760.000000,
40.000000,0.000000,0.002625,5.000000,0.000000,-0.000000,0.150000,-0.000105,-0.000008,-0.005795,0.000000,0.000000,-0.000000,-0.000000,0.000027,-0.000000,0.001473,-0.000000,-0.000002,0.000000,0.833333,26766.000000,
45.000000,0.000000,0.003500,5.000000,0.000000,-0.000000,0.175000,-0.000134,-0.000008,-0.005795,0.000000,0.000001,-0.000000,-0.000000,0.000034,-0.000000,0.001473,-0.000000,-0.000002,0.000000,1.250000,26771.000000,
50.000000,0.000000,0.004500,5.000000,0.000000,-0.000000,0.200000,-0.000163,-0.000008,-0.005794,0.000000,0.000001,-0.000000,-0.000000,0.000041,-0.000000,0.001473,-0.000000,-0.000002,0.000000,0.833333,26777.000000,
