timestamp,setPoint,xAngVel,simSpeed,thrustPitch,xAngle,systemTime
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6088.000000,
1.000000,-0.349066,0.000000,0.023256,-0.021102,0.000000,6109.000000,
2.000000,-0.349066,0.000000,0.333333,-0.021102,0.000000,6112.000000,
3.000000,-0.349066,-0.000073,0.500000,-0.021102,-0.000000,6115.000000,
4.000000,-0.349066,-0.000147,0.500000,-0.021102,-0.000000,6118.000000,
5.000000,-0.349066,-0.000220,0.333333,-0.021102,-0.000000,6121.000000,
6.000000,-0.349066,-0.000294,0.333333,-0.021102,-0.000001,6124.000000,
7.000000,-0.349066,-0.000367,0.500000,-0.021102,-0.000001,6127.000000,
8.000000,-0.349066,-0.000441,0.500000,-0.021102,-0.000002,6129.000000,
9.000000,-0.349066,-0.000514,0.500000,-0.021102,-0.000002,6132.000000,
10.000000,-0.349066,-0.000588,0.500000,-0.021102,-0.000003,6134.000000,
11.000000,-0.349066,-0.000661,0.333333,-0.030838,-0.000003,6137.000000,
12.000000,-0.349066,-0.000735,0.333333,-0.030838,-0.000004,6141.000000,
13.000000,-0.349066,-0.000842,0.500000,-0.030838,-0.000005,6144.000000,
14.000000,-0.349066,-0.000950,0.333333,-0.030838,-0.000006,6147.000000,
15.000000,-0.349066,-0.001057,0.333333,-0.030838,-0.000007,6150.000000,
16.000000,-0.349066,-0.001165,0.250000,-0.030838,-0.000008,6155.000000,
17.000000,-0.349066,-0.001272,0.333333,-0.030838,-0.000009,6158.000000,
18.000000,-0.349066,-0.001379,0.333333,-0.030838,-0.000011,6161.000000,
19.000000,-0.349066,-0.001487,0.333333,-0.030838,-0.000012,6165.000000,
20.000000,-0.349066,-0.001594,0.500000,-0.030838,-0.000014,6167.000000,
21.000000,-0.349066,-0.001702,0.250000,-0.040492,-0.000015,6172.000000,
22.000000,-0.349066,-0.001809,0.500000,-0.040492,-0.000017,6175.000000,
23.000000,-0.349066,-0.001950,0.500000,-0.040492,-0.000019,6177.000000,
24.000000,-0.349066,-0.002091,0.500000,-0.040492,-0.000021,6180.000000,
25.000000,-0.349066,-0.002232,0.500000,-0.040492,-0.000024,6182.000000,
26.000000,-0.349066,-0.002373,0.500000,-0.040492,-0.000026,6185.000000,
27.000000,-0.349066,-0.002515,0.333333,-0.040492,-0.000028,6188.000000,
28.000000,-0.349066,-0.002656,0.500000,-0.040492,-0.000031,6191.000000,
29.000000,-0.349066,-0.002797,0.500000,-0.040492,-0.000034,6193.000000,
30.000000,-0.349066,-0.002938,0.500000,-0.040492,-0.000037,6196.000000,
31.000000,-0.349066,-0.003079,0.500000,-0.050108,-0.000040,6198.000000,
32.000000,-0.349066,-0.003220,0.500000,-0.050108,-0.000043,6201.000000,
33.000000,-0.349066,-0.003395,0.333333,-0.050108,-0.000047,6204.000000,
34.000000,-0.349066,-0.003569,0.333333,-0.050108,-0.000050,6207.000000,
35.000000,-0.349066,-0.003744,0.500000,-0.050108,-0.000054,6210.000000,
36.000000,-0.349066,-0.003918,0.500000,-0.050108,-0.000058,6213.000000,
37.000000,-0.349066,-0.004093,0.500000,-0.050108,-0.000062,6216.000000,
38.000000,-0.349066,-0.004268,0.333333,-0.050108,-0.000066,6219.000000,
39.000000,-0.349066,-0.004442,0.333333,-0.050108,-0.000071,6223.000000,
40.000000,-0.349066,-0.004617,0.250000,-0.050108,-0.000075,6227.000000,
41.000000,-0.349066,-0.004792,0.333333,-0.059658,-0.000080,6230.000000,
42.000000,-0.349066,-0.004966,0.333333,-0.059658,-0.000085,6233.000000,
43.000000,-0.349066,-0.005174,0.333333,-0.059658,-0.000090,6237.000000,
