timestamp,setPoint,xAngVel,simSpeed,thrustPitch,xAngle,systemTime
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35090.000000,
1.000000,-0.349066,0.000000,0.022222,-0.021102,0.000000,35110.000000,
2.000000,-0.349066,0.000000,0.500000,-0.021102,0.000000,35113.000000,
3.000000,-0.349066,-0.000073,0.500000,-0.021102,-0.000000,35116.000000,
4.000000,-0.349066,-0.000147,0.500000,-0.021102,-0.000000,35118.000000,
5.000000,-0.349066,-0.000220,0.500000,-0.021102,-0.000000,35121.000000,
6.000000,-0.349066,-0.000294,0.333333,-0.021102,-0.000001,35124.000000,
7.000000,-0.349066,-0.000367,0.500000,-0.021102,-0.000001,35127.000000,
8.000000,-0.349066,-0.000441,0.500000,-0.021102,-0.000002,35129.000000,
9.000000,-0.349066,-0.000514,0.500000,-0.021102,-0.000002,35131.000000,
10.000000,-0.349066,-0.000588,0.500000,-0.021102,-0.000003,35134.000000,
11.000000,-0.349066,-0.000661,0.500000,-0.030838,-0.000003,35136.000000,
12.000000,-0.349066,-0.000735,0.333333,-0.030838,-0.000004,35140.000000,
13.000000,-0.349066,-0.000842,0.500000,-0.030838,-0.000005,35142.000000,
14.000000,-0.349066,-0.000950,0.500000,-0.030838,-0.000006,35145.000000,
15.000000,-0.349066,-0.001057,0.500000,-0.030838,-0.000007,35148.000000,
16.000000,-0.349066,-0.001165,0.500000,-0.030838,-0.000008,35151.000000,
17.000000,-0.349066,-0.001272,0.500000,-0.030838,-0.000009,35153.000000,
18.000000,-0.349066,-0.001379,0.166667,-0.030838,-0.000011,35160.000000,
19.000000,-0.349066,-0.001487,0.200000,-0.030838,-0.000012,35165.000000,
20.000000,-0.349066,-0.001594,0.333333,-0.030838,-0.000014,35169.000000,
21.000000,-0.349066,-0.001702,0.200000,-0.040492,-0.000015,35175.000000,
22.000000,-0.349066,-0.001809,0.333333,-0.040492,-0.000017,35179.000000,
23.000000,-0.349066,-0.001950,0.333333,-0.040492,-0.000019,35182.000000,
24.000000,-0.349066,-0.002091,0.333333,-0.040492,-0.000021,35186.000000,
25.000000,-0.349066,-0.002232,0.250000,-0.040492,-0.000024,35191.000000,
26.000000,-0.349066,-0.002373,0.333333,-0.040492,-0.000026,35195.000000,
27.000000,-0.349066,-0.002515,0.333333,-0.040492,-0.000028,35198.000000,
28.000000,-0.349066,-0.002656,0.333333,-0.040492,-0.000031,35202.000000,
29.000000,-0.349066,-0.002797,0.200000,-0.040492,-0.000034,35207.000000,
30.000000,-0.349066,-0.002938,0.333333,-0.040492,-0.000037,35211.000000,
31.000000,-0.349066,-0.003079,0.333333,-0.050108,-0.000040,35214.000000,
32.000000,-0.349066,-0.003220,0.250000,-0.050108,-0.000043,35219.000000,
33.000000,-0.349066,-0.003395,0.200000,-0.050108,-0.000047,35225.000000,
34.000000,-0.349066,-0.003569,0.333333,-0.050108,-0.000050,35228.000000,
35.000000,-0.349066,-0.003744,0.250000,-0.050108,-0.000054,35233.000000,
36.000000,-0.349066,-0.003918,0.250000,-0.050108,-0.000058,35238.000000,
37.000000,-0.349066,-0.004093,0.200000,-0.050108,-0.000062,35243.000000,
38.000000,-0.349066,-0.004268,0.333333,-0.050108,-0.000066,35247.000000,
39.000000,-0.349066,-0.004442,0.200000,-0.050108,-0.000071,35252.000000,
40.000000,-0.349066,-0.004617,0.200000,-0.050108,-0.000075,35257.000000,
41.000000,-0.349066,-0.004792,0.250000,-0.059658,-0.000080,35262.000000,
42.000000,-0.349066,-0.004966,0.333333,-0.059658,-0.000085,35266.000000,
43.000000,-0.349066,-0.005174,0.333333,-0.059658,-0.000090,35270.000000,
44.000000,-0.349066,-0.005382,0.250000,-0.059658,-0.000096,35274.000000,
45.000000,-0.349066,-0.005590,0.333333,-0.059658,-0.000101,35278.000000,
46.000000,-0.349066,-0.005798,0.333333,-0.059658,-0.000107,35282.000000,
47.000000,-0.349066,-0.006006,0.200000,-0.059658,-0.000113,35287.000000,
48.000000,-0.349066,-0.006214,0.250000,-0.059658,-0.000119,35292.000000,
49.000000,-0.349066,-0.006422,0.333333,-0.059658,-0.000126,35295.000000,
50.000000,-0.349066,-0.006630,0.333333,-0.059658,-0.000132,35298.000000,
51.000000,-0.349066,-0.006838,0.333333,-0.069130,-0.000139,35302.000000,
52.000000,-0.349066,-0.007046,0.250000,-0.069130,-0.000146,35306.000000,
53.000000,-0.349066,-0.007287,0.333333,-0.069130,-0.000153,35309.000000,
54.000000,-0.349066,-0.007528,0.333333,-0.069130,-0.000161,35312.000000,
55.000000,-0.349066,-0.007769,0.250000,-0.069130,-0.000169,35317.000000,
56.000000,-0.349066,-0.008011,0.200000,-0.069130,-0.000177,35322.000000,
57.000000,-0.349066,-0.008252,0.333333,-0.069130,-0.000185,35326.000000,
58.000000,-0.349066,-0.008493,0.333333,-0.069130,-0.000193,35329.000000,
59.000000,-0.349066,-0.008734,0.333333,-0.069130,-0.000202,35333.000000,
60.000000,-0.349066,-0.008975,0.333333,-0.069130,-0.000211,35336.000000,
61.000000,-0.349066,-0.009216,0.333333,-0.078517,-0.000220,35339.000000,
62.000000,-0.349066,-0.009457,0.333333,-0.078517,-0.000230,35342.000000,
63.000000,-0.349066,-0.009731,0.333333,-0.078517,-0.000240,35346.000000,
64.000000,-0.349066,-0.010005,0.333333,-0.078517,-0.000250,35349.000000,
65.000000,-0.349066,-0.010279,0.500000,-0.078517,-0.000260,35352.000000,
66.000000,-0.349066,-0.010553,0.333333,-0.078517,-0.000270,35356.000000,
67.000000,-0.349066,-0.010827,0.333333,-0.078517,-0.000281,35360.000000,
68.000000,-0.349066,-0.011101,0.500000,-0.078517,-0.000292,35363.000000,
69.000000,-0.349066,-0.011375,0.500000,-0.078517,-0.000304,35366.000000,
70.000000,-0.349066,-0.011649,0.333333,-0.078517,-0.000315,35369.000000,
71.000000,-0.349066,-0.011923,0.333333,-0.087809,-0.000327,35373.000000,
72.000000,-0.349066,-0.012197,0.250000,-0.087809,-0.000339,35377.000000,
73.000000,-0.349066,-0.012504,0.500000,-0.087809,-0.000352,35380.000000,
74.000000,-0.349066,-0.012810,0.500000,-0.087809,-0.000365,35383.000000,
75.000000,-0.349066,-0.013117,0.500000,-0.087809,-0.000378,35386.000000,
76.000000,-0.349066,-0.013423,0.250000,-0.087809,-0.000391,35390.000000,
77.000000,-0.349066,-0.013730,0.250000,-0.087809,-0.000405,35395.000000,
78.000000,-0.349066,-0.014036,0.333333,-0.087809,-0.000419,35398.000000,
79.000000,-0.349066,-0.014343,0.333333,-0.087809,-0.000433,35401.000000,
80.000000,-0.349066,-0.014650,0.500000,-0.087809,-0.000448,35404.000000,
81.000000,-0.349066,-0.014956,0.250000,-0.096998,-0.000463,35409.000000,
82.000000,-0.349066,-0.015263,0.333333,-0.096998,-0.000478,35412.000000,
83.000000,-0.349066,-0.015602,0.333333,-0.096998,-0.000494,35415.000000,
84.000000,-0.349066,-0.015940,0.500000,-0.096998,-0.000510,35418.000000,
85.000000,-0.349066,-0.016279,0.500000,-0.096998,-0.000526,35421.000000,
86.000000,-0.349066,-0.016618,0.250000,-0.096998,-0.000543,35425.000000,
87.000000,-0.349066,-0.016957,0.333333,-0.096998,-0.000560,35428.000000,
88.000000,-0.349066,-0.017296,0.500000,-0.096998,-0.000577,35431.000000,
89.000000,-0.349066,-0.017635,0.500000,-0.096998,-0.000595,35434.000000,
90.000000,-0.349066,-0.017973,0.333333,-0.096998,-0.000613,35437.000000,
91.000000,-0.349066,-0.018312,0.250000,-0.106073,-0.000631,35442.000000,
92.000000,-0.349066,-0.018651,0.500000,-0.106073,-0.000650,35445.000000,
93.000000,-0.349066,-0.019022,0.500000,-0.106073,-0.000669,35448.000000,
94.000000,-0.349066,-0.019393,0.500000,-0.106073,-0.000688,35451.000000,
95.000000,-0.349066,-0.019763,0.500000,-0.106073,-0.000708,35454.000000,
96.000000,-0.349066,-0.020134,0.250000,-0.106073,-0.000728,35458.000000,
97.000000,-0.349066,-0.020505,0.500000,-0.106073,-0.000748,35461.000000,
98.000000,-0.349066,-0.020876,0.500000,-0.106073,-0.000769,35464.000000,
99.000000,-0.349066,-0.021246,0.500000,-0.106073,-0.000790,35467.000000,
100.000000,-0.349066,-0.021617,0.333333,-0.106073,-0.000812,35470.000000,
101.000000,-0.349066,-0.021988,0.250000,-0.115027,-0.000834,35475.000000,
102.000000,-0.349066,-0.022359,0.333333,-0.115027,-0.000856,35478.000000,
103.000000,-0.349066,-0.022761,0.500000,-0.115027,-0.000879,35481.000000,
104.000000,-0.349066,-0.023163,0.333333,-0.115027,-0.000902,35484.000000,
105.000000,-0.349066,-0.023566,0.333333,-0.115027,-0.000926,35487.000000,
106.000000,-0.349066,-0.023968,0.250000,-0.115027,-0.000950,35492.000000,
107.000000,-0.349066,-0.024370,0.333333,-0.115027,-0.000974,35495.000000,
108.000000,-0.349066,-0.024772,0.500000,-0.115027,-0.000999,35498.000000,
109.000000,-0.349066,-0.025175,0.333333,-0.115027,-0.001024,35501.000000,
110.000000,-0.349066,-0.025577,0.500000,-0.115027,-0.001050,35503.000000,
111.000000,-0.349066,-0.025979,0.333333,-0.123851,-0.001076,35507.000000,
112.000000,-0.349066,-0.026382,0.333333,-0.123851,-0.001102,35510.000000,
113.000000,-0.349066,-0.026815,0.500000,-0.123851,-0.001129,35513.000000,
114.000000,-0.349066,-0.027249,0.333333,-0.123851,-0.001156,35517.000000,
115.000000,-0.349066,-0.027682,0.333333,-0.123851,-0.001184,35520.000000,
116.000000,-0.349066,-0.028116,0.250000,-0.123851,-0.001212,35524.000000,
117.000000,-0.349066,-0.028549,0.500000,-0.123851,-0.001241,35527.000000,
118.000000,-0.349066,-0.028983,0.333333,-0.123851,-0.001270,35530.000000,
119.000000,-0.349066,-0.029416,0.250000,-0.123851,-0.001299,35534.000000,
120.000000,-0.349066,-0.029850,0.200000,-0.123851,-0.001329,35539.000000,
121.000000,-0.349066,-0.030283,0.333333,-0.132537,-0.001359,35543.000000,
122.000000,-0.349066,-0.030716,0.500000,-0.132537,-0.001390,35546.000000,
123.000000,-0.349066,-0.031181,0.500000,-0.132537,-0.001421,35548.000000,
124.000000,-0.349066,-0.031645,0.500000,-0.132537,-0.001453,35551.000000,
125.000000,-0.349066,-0.032109,0.333333,-0.132537,-0.001485,35555.000000,
126.000000,-0.349066,-0.032573,0.333333,-0.132537,-0.001517,35559.000000,
127.000000,-0.349066,-0.033037,0.333333,-0.132537,-0.001550,35562.000000,
128.000000,-0.349066,-0.033502,0.333333,-0.132537,-0.001584,35565.000000,
129.000000,-0.349066,-0.033966,0.333333,-0.132537,-0.001618,35568.000000,
130.000000,-0.349066,-0.034430,0.250000,-0.132537,-0.001652,35573.000000,
131.000000,-0.349066,-0.034894,0.333333,-0.132537,-0.001687,35577.000000,
132.000000,-0.349066,-0.035359,0.333333,-0.141915,-0.001722,35580.000000,
133.000000,-0.349066,-0.035823,0.500000,-0.141915,-0.001758,35583.000000,
134.000000,-0.349066,-0.036320,0.500000,-0.141915,-0.001795,35586.000000,
135.000000,-0.349066,-0.036818,0.333333,-0.141915,-0.001831,35590.000000,
136.000000,-0.349066,-0.037315,0.333333,-0.141915,-0.001869,35593.000000,
137.000000,-0.349066,-0.037813,0.333333,-0.141915,-0.001907,35596.000000,
138.000000,-0.349066,-0.038310,0.500000,-0.141915,-0.001945,35599.000000,
139.000000,-0.349066,-0.038807,0.500000,-0.141915,-0.001984,35602.000000,
140.000000,-0.349066,-0.039305,0.250000,-0.141915,-0.002023,35607.000000,
141.000000,-0.349066,-0.039802,0.333333,-0.141915,-0.002063,35610.000000,
142.000000,-0.349066,-0.040300,0.500000,-0.150283,-0.002103,35613.000000,
143.000000,-0.349066,-0.040797,0.500000,-0.150283,-0.002144,35616.000000,
144.000000,-0.349066,-0.041325,0.333333,-0.150283,-0.002185,35619.000000,
145.000000,-0.349066,-0.041852,0.250000,-0.150283,-0.002227,35623.000000,
146.000000,-0.349066,-0.042379,0.333333,-0.150283,-0.002269,35627.000000,
147.000000,-0.349066,-0.042906,0.333333,-0.150283,-0.002312,35630.000000,
148.000000,-0.349066,-0.043433,0.500000,-0.150283,-0.002356,35632.000000,
149.000000,-0.349066,-0.043961,0.500000,-0.150283,-0.002400,35635.000000,
150.000000,-0.349066,-0.044488,0.250000,-0.150283,-0.002444,35640.000000,
151.000000,-0.349066,-0.045015,0.333333,-0.150283,-0.002489,35643.000000,
152.000000,-0.349066,-0.045542,0.500000,-0.158486,-0.002535,35646.000000,
153.000000,-0.349066,-0.046069,0.500000,-0.158486,-0.002581,35649.000000,
154.000000,-0.349066,-0.046626,0.500000,-0.158486,-0.002627,35652.000000,
155.000000,-0.349066,-0.047182,0.250000,-0.158486,-0.002675,35656.000000,
156.000000,-0.349066,-0.047739,0.333333,-0.158486,-0.002722,35660.000000,
157.000000,-0.349066,-0.048295,0.500000,-0.158486,-0.002771,35663.000000,
158.000000,-0.349066,-0.048851,0.500000,-0.158486,-0.002820,35666.000000,
159.000000,-0.349066,-0.049408,0.333333,-0.158486,-0.002869,35669.000000,
160.000000,-0.349066,-0.049964,0.200000,-0.158486,-0.002919,35675.000000,
161.000000,-0.349066,-0.050521,0.333333,-0.158486,-0.002969,35678.000000,
162.000000,-0.349066,-0.051077,0.500000,-0.166518,-0.003021,35681.000000,
163.000000,-0.349066,-0.051634,0.500000,-0.166518,-0.003072,35684.000000,
164.000000,-0.349066,-0.052219,0.333333,-0.166518,-0.003124,35687.000000,
165.000000,-0.349066,-0.052804,0.250000,-0.166518,-0.003177,35691.000000,
166.000000,-0.349066,-0.053389,0.333333,-0.166518,-0.003231,35694.000000,
167.000000,-0.349066,-0.053974,0.500000,-0.166518,-0.003285,35697.000000,
168.000000,-0.349066,-0.054559,0.333333,-0.166518,-0.003339,35700.000000,
169.000000,-0.349066,-0.055144,0.333333,-0.166518,-0.003394,35703.000000,
170.000000,-0.349066,-0.055729,0.333333,-0.166518,-0.003450,35707.000000,
171.000000,-0.349066,-0.056314,0.333333,-0.166518,-0.003506,35710.000000,
172.000000,-0.349066,-0.056900,0.500000,-0.174370,-0.003563,35713.000000,
173.000000,-0.349066,-0.057485,0.333333,-0.174370,-0.003621,35716.000000,
174.000000,-0.349066,-0.058098,0.333333,-0.174370,-0.003679,35719.000000,
175.000000,-0.349066,-0.058711,0.250000,-0.174370,-0.003737,35724.000000,
176.000000,-0.349066,-0.059324,0.333333,-0.174370,-0.003797,35727.000000,
177.000000,-0.349066,-0.059937,0.333333,-0.174370,-0.003857,35730.000000,
178.000000,-0.349066,-0.060551,0.333333,-0.174370,-0.003917,35734.000000,
179.000000,-0.349066,-0.061164,0.333333,-0.174370,-0.003978,35737.000000,
180.000000,-0.349066,-0.061777,0.200000,-0.174370,-0.004040,35743.000000,
181.000000,-0.349066,-0.062390,0.333333,-0.174370,-0.004103,35746.000000,
182.000000,-0.349066,-0.063004,0.250000,-0.182035,-0.004166,35751.000000,
183.000000,-0.349066,-0.063617,0.200000,-0.182035,-0.004229,35756.000000,
184.000000,-0.349066,-0.064257,0.333333,-0.182035,-0.004294,35760.000000,
185.000000,-0.349066,-0.064898,0.333333,-0.182035,-0.004358,35763.000000,
186.000000,-0.349066,-0.065539,0.333333,-0.182035,-0.004424,35766.000000,
187.000000,-0.349066,-0.066179,0.500000,-0.182035,-0.004490,35769.000000,
188.000000,-0.349066,-0.066820,0.333333,-0.182035,-0.004557,35773.000000,
189.000000,-0.349066,-0.067461,0.333333,-0.182035,-0.004624,35777.000000,
190.000000,-0.349066,-0.068102,0.333333,-0.182035,-0.004693,35780.000000,
191.000000,-0.349066,-0.068742,0.500000,-0.182035,-0.004761,35783.000000,
192.000000,-0.349066,-0.069383,0.500000,-0.189505,-0.004831,35786.000000,
193.000000,-0.349066,-0.070024,0.250000,-0.189505,-0.004901,35790.000000,
194.000000,-0.349066,-0.070691,0.250000,-0.189505,-0.004971,35794.000000,
195.000000,-0.349066,-0.071359,0.333333,-0.189505,-0.005043,35797.000000,
196.000000,-0.349066,-0.072026,0.500000,-0.189505,-0.005115,35800.000000,
197.000000,-0.349066,-0.072694,0.500000,-0.189505,-0.005187,35803.000000,
198.000000,-0.349066,-0.073361,0.250000,-0.189505,-0.005261,35807.000000,
199.000000,-0.349066,-0.074029,0.333333,-0.189505,-0.005335,35811.000000,
200.000000,-0.349066,-0.074697,0.500000,-0.189505,-0.005410,35814.000000,
201.000000,-0.349066,-0.075364,0.333333,-0.189505,-0.005485,35817.000000,
202.000000,-0.349066,-0.076032,0.333333,-0.196773,-0.005561,35820.000000,
203.000000,-0.349066,-0.076699,0.200000,-0.196773,-0.005638,35826.000000,
204.000000,-0.349066,-0.077393,0.333333,-0.196773,-0.005715,35829.000000,
205.000000,-0.349066,-0.078087,0.500000,-0.196773,-0.005793,35832.000000,
206.000000,-0.349066,-0.078781,0.500000,-0.196773,-0.005872,35835.000000,
207.000000,-0.349066,-0.079474,0.333333,-0.196773,-0.005951,35838.000000,
208.000000,-0.349066,-0.080168,0.250000,-0.196773,-0.006032,35842.000000,
209.000000,-0.349066,-0.080862,0.500000,-0.196773,-0.006112,35845.000000,
210.000000,-0.349066,-0.081556,0.500000,-0.196773,-0.006194,35848.000000,
211.000000,-0.349066,-0.082249,0.500000,-0.196773,-0.006276,35851.000000,
212.000000,-0.349066,-0.082943,0.333333,-0.203832,-0.006359,35854.000000,
213.000000,-0.349066,-0.083637,0.250000,-0.203832,-0.006443,35859.000000,
214.000000,-0.349066,-0.084356,0.500000,-0.203832,-0.006527,35862.000000,
215.000000,-0.349066,-0.085075,0.500000,-0.203832,-0.006612,35865.000000,
216.000000,-0.349066,-0.085795,0.500000,-0.203832,-0.006698,35867.000000,
217.000000,-0.349066,-0.086514,0.333333,-0.203832,-0.006784,35870.000000,
218.000000,-0.349066,-0.087233,0.200000,-0.203832,-0.006872,35876.000000,
219.000000,-0.349066,-0.087952,0.500000,-0.203832,-0.006960,35879.000000,
